url,house_type,bathrooms,bedrooms,price,locality,lat,lng,condition,furnishing,24_hour_electricity,air_conditioning,apartment,balcony,chandelier,dining_area,dishwasher,hot_water,kitchen_cabinets,kitchen_shelf,microwave,pop_ceiling,pre_paid_meter,refrigerator,tv,tiled_floor,wardrobe,wi_fi
https://jiji.com.gh/adenta-municipal/houses-apartments-for-rent/2bdrm-apartment-in-adenta-for-rent-i2BLvfKqWcc9fdS5lo5xOg0S.html,Apartment,2,2,4500.0,Adenta,5.7141674,-0.15418,New,Semi-Furnished,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/weija-junction/houses-apartments-for-rent/3bdrm-apartment-in-chis-lon-global-weija-junction-for-rent-9VTO1D5NeRXcYKaeuuiwTUMy.html,Apartment,4,3,3500.0,Weija,5.5666403,-0.3334778,New,Unfurnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/west-legon/houses-apartments-for-rent/2bdrm-apartment-in-westlands-for-rent-mzDIk9TYN2FXg9TwaLN6vu7a.html,Apartment,2,2,5000.0,West Legon,5.6495001,-0.2100343,Used,Unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/teshie/houses-apartments-for-rent/3bdrm-house-in-legacy-solid-real-teshie-for-rent-8cAyl7w4PWgZUNU0fzxnW3c2.html,House,4,3,5500.0,Teshie,5.5831665,-0.1046082,Renovated,Semi-Furnished,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/frafraha/houses-apartments-for-rent/2bdrm-apartment-in-ashiyie-frafraha-for-rent-hcxdl70ToseuGzefqz6agLe7.html,Apartment,3,2,2500.0,Adenta,5.7141674,-0.15418,Used,Semi-Furnished,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
https://jiji.com.gh/accra-metropolitan/houses-apartments-for-rent/2bdrm-apartment-in-wisa-group-accra-metropolitan-for-rent-hyC7avMaC8Y5SWWzaV67hOvB.html,Apartment,2,2,3000.0,Accra Metropolitan,5.5459415,-0.2103988,New,Semi-Furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
https://jiji.com.gh/labone/houses-apartments-for-rent/5bdrm-mansion-in-labone-for-rent-2JTuTsMTpiArqHOkynsPTto9.html,Mansion,5,5,45000.0,Labone,5.5682665,-0.1717396,Used,Unfurnished,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/2bdrm-apartment-in-lashibi-spintex-for-rent-1JWvOEk179Cx25rqcTQioxvm.html,Apartment,3,2,4000.0,Spintex,5.6376136,-0.1266064,New,Unfurnished,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/achimota/houses-apartments-for-rent/3bdrm-house-in-achimota-for-rent-nddVuSRizmhopoMZFwFwYgp9.html,House,3,3,15600.0,Achimota,5.612781,-0.234345,New,Unfurnished,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
https://jiji.com.gh/kwabenya/houses-apartments-for-rent/4bdrm-house-in-kwabenya-for-rent-7OsYcKKy45XIVFDwfBhWx2KS.html,House,5,4,7500.0,Ga West Municipal,5.7088147,-0.3560076,New,Semi-Furnished,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
